Cell	Cbfa2t3h	Cdh1	Cdh5	Egfl7	Eif2b1	Erg	Ets1	Ets2	Etv2	Etv6	Fli1	FoxH1	FoxO4	Gata1	Gfi1	Gfi1b	HbbbH1	Hhex	HoxB2	HoxB4	HoxD8	Ikaros	Itga2b	Kdr	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mrpl19	Myb	Nfe2	Notch1	Pecam1	Polr2a	Procr	Runx1	Sfpi1	Sox17	Sox7	Tal1	Tbx20	Tbx3	Ubc
HFB10_014	-2,542606995	-14	1,640613815	-1,883670185	0,104449575	-5,044062795	-2,920767095	0,706370965	0,852012775	-2,546890185	2,903144905	0,908651885	-1,040722595	-14	-14	-14	-14	-0,681474385	-14	-3,483234545	-14	-2,271436795	-4,149420855	1,642559975	-5,451398575	-1,142441205	-9,241863965	-0,562044105	-4,249157875	-2,439149595	-14	-2,124434055	-3,574952175	-5,288800655	-5,974621105	-1,826314735	-0,531514025	-14	-0,455011145	-4,093435635	-3,595790375	-1,355394205	1,498077275	-8,468642115	-14	2,551498505
HFB10_015	-14	0,675026133	-4,962823448	-4,243825658	0,016289852	-14	-8,472253538	-0,803981887	-2,944305038	-5,654760128	-1,815948858	-1,171063198	-2,232696058	-14	-14	-14	-14	-4,054427828	-14	-5,328230348	-14	-14	-14	-0,831750318	-2,844107078	-1,939668048	-14	-7,333188388	-14	-8,668750488	-4,957419608	-1,183759548	-14	-14	-8,354375048	-5,285483228	-1,027251648	-14	-6,143904868	-14	-6,513968938	-5,407669718	-4,142740918	-14	-3,700203978	2,194721343
HFB10_016	-3,18628161	-14	2,69717433	-0,18131946	-0,31806499	-3,03193059	-1,39631438	0,74044231	-1,88736547	-2,427606	2,37285703	0,16442527	-0,99160175	-4,90047168	-14	-14	-14	-1,70318068	-14	-3,31484317	-14	-4,10370185	-4,26329971	0,98614401	-2,47909894	-3,90268939	-5,42874671	-2,25960494	-5,47663377	-0,96963581	-14	-1,22861015	-4,93820044	-14	-5,74191724	-1,03178694	-1,03709665	-3,65852991	-2,57462266	-14	-14	-1,24645007	0,48346032	-5,01538179	-5,02101713	2,58377179
HFB10_017	-4,092727448	-14	-2,352720768	-2,580120048	0,163191612	-4,833500688	-4,656807468	0,669933192	0,577133042	-2,090298958	2,259474813	1,834744063	-2,471808938	-14	-14	-14	-14	-0,235612018	-14	-14	-14	-14	-14	2,562451673	-4,088275238	-1,260629488	-14	-14	-3,003697698	-1,236692878	-14	-2,718696658	-14	-14	-3,466771188	-3,927082108	-0,291071878	-14	-14	-14	-14	-5,126101888	0,891583362	-5,709822678	-14	2,846576923
HFB10_018	-3,8613221	-14	2,84195678	-3,16956561	-0,17628089	-4,20092439	-1,83201207	0,86630995	-0,0260583	-1,71372156	2,13382797	0,04331884	-1,56835119	-14	-4,35082239	-14	-14	0,27379355	-14	-2,09683494	-14	-6,55005512	-2,3523768	1,65484	-0,39483246	-1,8118573	-5,05954644	-1,77096038	-3,0296225	-1,39495072	-14	-1,55516018	-14	-6,07766407	-4,97843547	-3,17969073	-0,87150073	-14	-3,40797753	-3,84606725	-3,98846491	-2,46279339	0,59124119	-4,62155182	-3,33319808	2,6029418
HFB10_019	-1,870073675	-14	3,364043195	-0,181833285	-0,057195565	-1,910638825	-2,503261215	2,086417005	-6,160223845	-1,652741905	2,743675985	-0,528833935	-0,211400575	-4,465537905	-6,330342335	-1,035172915	-14	-2,333542385	-14	-2,905820465	-14	-3,587990645	-3,006268045	0,324064565	-0,084950185	-1,164710895	-4,756097095	1,061686405	-5,498126215	-0,227070385	-14	-1,483858305	-1,204812305	-5,290924885	-7,089212045	-0,219617235	-0,696320485	-3,321069675	0,163212205	-2,538327005	-5,178468715	-2,866191625	0,575588715	-9,634823555	-14	2,237374355
HFB10_020	-2,518994083	-14	2,760660808	-0,883207853	-0,313374803	-2,260387433	-1,959994093	1,590908168	-2,233136253	-2,065868253	3,508381718	0,876776088	-0,156686262	-14	-2,789089253	-1,427670313	-14	-0,890088643	-14	-3,583490233	-14	-1,264260353	-14	0,879592688	-1,230757113	-0,868752692	-14	0,458222967	-14	-3,228394173	-14	-1,307075363	-1,538359943	-5,337257593	-6,794643923	-1,592892833	-0,850468102	-14	1,559558518	-5,082051023	-14	-2,153109253	0,608281898	-4,448226063	-4,861902023	2,470918268
HFB10_021	-4,19166377	-14	2,53754678	-0,68885587	0,53688204	-2,61666568	-1,02390904	2,1352227	-2,36319943	-3,13826839	2,64646049	0,99368343	0,59062685	-14	-14	-14	-3,55474407	-4,02636661	-14	-3,54721626	-14	-3,71540858	-4,4796374	2,08801208	-0,65896755	-0,41736749	-4,40963108	-14	-14	-4,34520369	-14	-1,69803962	-4,16546175	-14	-5,1953173	-0,7409977	-0,42892902	-14	-3,34163518	-14	-2,93730024	-2,32895462	0,36556661	-5,66330232	-4,51521192	1,5900866
HFB10_022	-14	2,30684117	-14	-14	-0,94971133	-14	-14	0,91196504	-14	-2,84705641	-14	-14	-1,21393909	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-4,67818071	-0,13235019	-14	-14	-14	-14	-14	-2,54191535	-14	-14	-14	-14	-0,39421953	-14	-5,31723104	-14	-2,41695599	-14	-14	-7,66358846	-14	3,88584621
HFB10_023	-4,357848018	-14	0,231251762	-0,500232328	0,251066032	-3,339583168	-1,488203428	1,465016283	-0,414272708	-3,400538138	1,125075143	0,925399122	-0,984011778	-14	-14	-14	-14	-2,400096468	-14	-3,176433718	-14	-14	-4,619355278	1,881538313	-3,410436538	-2,336613048	-4,506990688	-0,782674508	-14	-1,434153698	-14	-0,925213508	-14	-14	-6,051351498	-1,132544598	-0,957699928	-14	-4,247802628	-4,284388258	-14	-1,116034078	0,221480682	-6,197708808	-4,405300398	1,631847403
HFB10_024	-5,237273568	-6,811913148	-5,313659388	-3,432970538	0,216780803	-14	-4,342028858	-1,464963218	1,836125343	-2,684122918	-2,285448918	0,931535733	0,064749843	-14	-14	-14	-14	-3,616262258	-14	-14	-14	-14	-14	1,708842603	-1,197682828	-3,378629118	-14	-3,797961468	-4,994637768	-1,959399938	-14	-1,584001538	-14	-14	-4,648715408	-2,083114008	-1,217213598	-14	-4,583014088	-14	-3,804719448	-4,405775398	1,356443533	-5,600906818	-3,558819308	2,584434333
HFB10_025	-4,426971738	-14	3,909545653	-3,919878468	0,883630142	-4,224639958	-3,079892408	0,576336123	-3,015195568	-2,389331998	1,593312493	0,596871853	-1,378253298	-3,998551368	-14	-0,604518358	1,857442203	-1,306314948	-14	-2,031855228	-14	-2,242898438	-2,569538148	-0,014563618	-0,404939878	-2,713059468	-14	1,351197823	-5,286765628	-1,547241638	-14	-1,891109028	0,261918763	-3,762187028	-6,524644828	-0,427608458	-0,652814998	-14	0,122005003	-1,208657528	-4,699288558	-2,384157608	0,633799863	-14	-5,495089998	1,660293883
HFB10_026	-3,30780403	-14	0,45202764	-0,62690178	-0,8096173	-4,21741977	-3,30625778	0,92283349	0,55651611	-2,27725157	3,58295212	0,09122766	-1,76887053	-14	-14	-14	-14	-0,87950024	-14	-14	-14	-14	-3,92123069	2,13391705	-0,93246702	-1,20921949	-2,56713773	-14	-14	-1,53546936	-14	-1,13149809	-3,06680476	-14	-6,31305074	-3,53835384	-0,35257666	-3,8817105	-4,90317752	-14	-2,02367081	-1,10736297	1,11184959	-5,73668221	-3,59414682	2,29369205
HFB10_027	-2,745207285	-5,451691095	2,750712355	-0,824197265	-0,290391195	-3,250524565	-0,811378425	1,953597715	-0,011550085	-1,779519055	3,772537825	0,267094575	-0,900999065	-14	-14	-14	-14	-1,470207325	-14	-2,942417145	-14	-14	-14	2,794976785	-1,449188105	-2,050339415	-3,214355635	-14	-14	0,196220625	-5,828268295	-1,123187295	-14	-14	-3,932530625	-0,082046205	-1,001261365	-14	-3,721312455	-5,026889395	-4,033500415	-0,818477955	0,871334725	-4,786733295	-3,510620895	2,414839855
HFB10_028	-14	1,73578685	-14	-5,17423071	-0,94070235	-14	-14	-0,91001789	-4,83046271	-3,86243354	-14	-0,97478838	-1,37410274	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-6,01204063	-1,13219032	-2,12036451	-14	-2,01266134	-14	-14	-5,65057625	-2,05244339	-14	-14	-4,97720102	-14	-0,8378497	-14	-4,84921884	-14	-1,36922988	-14	-14	-14	-14	3,83099544
HFB10_029	-4,92423081	-14	2,51986119	-0,28772938	-0,46831478	-2,50851473	-2,82993686	1,05758601	-1,21718403	-1,44912105	3,46749022	0,01691197	-0,76940736	-14	-14	-14	-14	-2,02344427	-14	-1,89444529	-14	-3,25419038	-4,50939617	0,87225478	-2,57463609	-2,19069591	-2,91795466	-0,10451812	-14	-0,61409809	-14	-1,31670754	-14	-6,00421388	-5,95035967	-0,21950594	-0,71355532	-14	-4,50342618	-14	-4,40764473	-1,73787134	1,45534611	-7,649499	-4,22736042	2,49857764
HFB10_030	-3,058544958	-14	1,693294143	-1,457753178	0,310533922	-3,245442148	-2,369037288	1,967408333	-2,662345198	-2,598897908	3,570006513	0,202809462	-2,795652048	-14	-14	-14	-14	-2,162377758	-14	-3,352544538	-14	-3,763650198	-4,987309198	1,860781263	-2,793388378	-1,410268018	-2,623755188	0,398811063	-14	-0,737364447	-14	-1,475255158	-14	-14	-4,725031838	-1,974057428	-0,980842107	-4,197520948	-4,194497968	-4,663819008	-3,235829718	-1,158887438	0,533431312	-7,190062238	-3,948169488	2,145563343
HFB10_031	-14	-14	-14	-4,074881743	-0,078272623	-14	-14	-2,670276503	1,974814398	-3,393659273	-2,536402683	1,839263688	-2,257246063	-14	-14	-14	-14	-1,868494683	-14	-14	-14	-14	-14	1,954746798	-4,018665103	-1,391163393	-14	-14	-14	-0,722617243	-14	-1,512511153	-14	-14	-14	-6,763176693	-0,401822803	-14	-4,732526483	-14	-14	-5,382739703	0,104630448	-7,088995543	-2,997691703	1,992606578
HFB10_032	-2,575090968	-14	2,389494383	1,165748793	0,483027942	-2,835408178	-2,090212608	1,292661503	-2,258648248	-1,999959038	2,999321243	1,023036983	-0,297697058	-14	-14	-4,218629858	-14	-0,522200468	-14	-14	-14	-2,690180378	-4,342771508	2,238524603	-2,608390608	-0,795310288	-14	-1,398067108	-14	-0,355647618	-14	-1,511381578	-14	-14	-4,593167478	-0,580351298	-0,992792378	-14	-14	-14	-14	-2,378029008	0,426779742	-6,504850558	-14	2,021146013
HFB10_033	-14	-14	-0,55786042	-0,84131094	-0,15872333	-5,01796142	-4,44097474	-1,19362781	1,26431402	-1,30724188	2,93724886	1,70601356	-2,4697849	-14	-14	-14	-14	-2,05538639	-14	-14	-14	-14	-4,73610428	2,57563144	-5,61125938	-1,06216977	-3,60261295	-2,87717381	-14	-2,37952984	-14	-2,73579521	-14	-14	-4,87014253	-4,27863182	-0,03467282	-14	-5,46529372	-14	-3,52140328	-1,59974423	1,38391329	-7,00292229	-14	2,92919136
HFB10_034	-14	1,998913073	-14	-5,457341778	-0,079964968	-14	-14	0,593529152	-14	-3,795268188	-14	-2,157817078	-0,088475858	-14	-14	-14	-14	-14	-14	-4,640372518	-14	-14	-14	-14	-1,297008748	-2,208014278	-14	-14	-4,637131568	-3,476629958	-3,924000238	-2,619918438	-14	-5,766089278	-5,846654708	-14	-1,247152938	-14	-3,132226278	-14	-1,069938688	-14	-14	-14	-14	3,947036343
HFB10_035	-1,601113048	-14	-0,852638318	-1,331158768	0,060788762	-4,461611358	-1,004187828	1,437921173	-0,139730338	-2,620419608	2,703149073	0,642703743	0,829186442	-14	-14	-14	-14	-1,803329008	-14	-3,575619128	-14	-14	-14	2,012587953	-4,081398678	-1,304720928	-14	-1,753325128	-14	-2,970269188	-14	-1,000234788	-14	-14	-5,731349838	-3,904001888	-1,374548278	-14	-3,065504978	-14	-3,430769798	-1,106160118	1,053348133	-5,346653128	-14	2,313994303
HFB10_036	-3,384872068	-14	4,071485903	-2,104091628	-0,304466038	-1,401592418	-3,741709058	2,502501243	-0,662845048	-1,666601718	2,145948783	-0,377382998	-2,003259258	-4,102379208	-14	-4,737125318	2,914572753	-2,066766758	-14	-3,841988008	-14	-1,640755078	-1,515449608	0,201113242	-0,301672578	-1,932730948	-5,379821848	1,051737763	-14	-3,136042618	-14	-0,888713358	-0,650453268	-4,567658168	-5,786765958	-0,682954948	-1,211579078	-4,878363448	-0,010560598	0,633855463	-14	-2,347625918	-0,265473928	-14	-14	2,404758473
HFB10_037	-3,057726825	-14	3,648659405	0,230343985	0,311876435	-1,795920865	-1,524005245	1,247587125	-2,501736285	-2,328521135	2,812900165	0,046383045	-3,024760765	-14	-14	-14	-14	-0,641664585	-14	-2,130762265	-14	-14	-3,145462875	1,723846045	-2,018267295	-2,077623235	-6,281978715	-0,386129075	-14	-0,852228015	-14	-1,542846995	-4,292098375	-14	-4,419714175	-0,034208455	-1,181032895	-14	-1,813882285	-3,680695035	-1,997699475	-1,590681035	-0,221540905	-5,561851315	-3,316200565	2,412003455
HFB10_038	-2,846350833	-14	0,298259538	0,191738398	0,331144108	-4,723581523	-0,638200563	1,671157138	-0,263015962	-3,058293373	3,532725918	1,295165948	-0,038839582	-14	-14	-14	-14	-1,509442013	-14	-1,399671273	-14	-14	-14	2,206155558	-1,681314433	-0,701503322	-4,552988653	-1,520947593	-4,721368883	-3,437466413	-14	-1,329116263	-14	-14	-4,424571853	-1,265963433	-0,915455523	-14	-6,549769053	-14	-14	-0,570862553	0,629231388	-5,583318573	-4,224162143	1,913427678
HFB10_040	-4,175857183	-14	0,755429417	-0,183130903	0,587867677	-3,882382513	-4,651339303	0,751885688	-1,432603723	-1,866807983	2,907678278	0,027976347	-2,416165743	-14	-14	-14	-14	-1,234179623	-14	-14	-14	-14	-3,384672553	1,143651148	-2,471657823	-2,511640703	-5,688877933	-14	-14	-14	-14	-1,072003313	-4,024571693	-14	-6,303751463	-1,250974323	-1,181412833	-14	-14	-14	-14	-1,708647333	0,654761307	-7,155330053	-14	1,665548468
HFB10_041	-3,816178648	-14	1,299793713	-0,995814318	-0,291980018	-3,541173498	-1,342910708	1,426076783	0,529938623	-1,726564158	3,472196653	-0,428991038	-1,025443238	-14	-14	-14	-14	-1,610243298	-14	-2,486129038	-14	-3,814742568	-14	1,536815543	-4,146347088	-1,448189658	-6,691511138	-1,733506938	-5,521028668	-2,710674128	-6,581596718	-0,881354318	-3,121780068	-14	-5,658689358	-0,702601908	-1,167318438	-14	-3,937179738	-14	-3,651621138	-1,748693358	1,139043843	-7,020700378	-5,077397258	2,340652773
HFB10_042	-4,278119183	-14	1,445760918	-0,505522653	0,127665367	-14	-0,975431303	1,422888598	0,489727367	-1,693067283	2,250750078	-0,508354522	-1,526355573	-14	-14	-14	-14	-3,419743023	-14	-1,927424773	-14	-14	-14	1,957759588	-2,889204973	-1,128992783	-14	-1,229202793	-1,614671723	-0,865528902	-6,128479073	-0,716789403	-2,318833083	-14	-4,866317843	-1,159832373	-1,227213593	-3,682791783	-3,590569123	-14	-3,401221063	-0,991026053	1,008604398	-5,336789213	-3,562962383	1,816337628
HFB10_043	-5,37868618	-14	2,92506853	0,29350133	0,84365341	-2,69243795	-0,12908856	1,74839785	-1,36406689	-2,55500764	2,75757193	1,40624509	1,37428446	-14	-14	-14	-14	-1,34165386	-14	-14	-14	-4,34062922	-4,01937715	2,24245822	-1,46866663	-2,1855396	-5,65064035	-1,09819719	-14	-2,31595832	-14	-0,94958099	-14	-14	-5,4536743	-0,68950168	-1,65902443	-14	-1,77532623	-14	-3,96054372	-0,63203446	0,29441626	-7,18186107	-3,89227807	1,76495201
HFB10_044	-4,99139503	-14	3,01188647	-0,41300275	-0,08205435	-1,61663606	-1,47464186	0,53013346	-2,7325076	-2,66155624	3,05084469	0,98177987	-1,09537667	-14	-5,31538087	-3,63133039	-3,23494532	-1,81307087	-14	-3,38985379	-14	-14	-3,4726048	1,69835343	-2,3399449	-3,08485265	-14	0,165032	-4,80037114	-1,54297724	-14	-1,08924296	-2,50237522	-4,81027012	-5,95494945	-0,65327135	-1,00662632	-14	-2,74457667	-14	-14	-1,87186654	-0,50700338	-6,12862838	-4,29264012	2,17792363
HFB10_045	-2,82341013	-14	1,66078709	-0,37891103	-0,09645063	-4,85773754	-0,90849921	1,78057713	-2,44677211	-3,45372373	3,83259369	0,21513515	-0,35420958	-3,86573384	-4,48141368	-0,10941038	-14	-1,30417715	-14	-2,0337667	-14	-2,19386075	-5,10339992	0,96133846	-1,37402471	-0,77166161	-5,79942167	1,2447036	-5,23087611	-4,93264461	-14	-0,76493403	-2,60920591	-4,05986077	-6,84110211	-2,1325562	-1,17155583	-14	0,1076132	-3,26885431	-14	-1,21516121	1,34688451	-6,75996227	-4,9569592	2,03294049
HFB10_046	-14	1,15623365	-14	-14	-0,75230478	-14	-14	0,69947181	-14	-3,08900385	-14	0,67327899	1,81569023	-14	-14	-14	-2,32457794	-14	-14	-14	-14	-14	-14	-14	-14	-3,25826164	-14	-14	-14	-3,04869525	-5,05356412	-3,03269677	-14	-14	-14	-14	0,10823023	-14	-2,02620136	-14	-2,08419996	-14	-14	-14	-2,07105992	3,67677132
HFB10_047	-3,49010128	-14	1,20163079	-2,85745551	0,63797628	-2,79187342	-2,3955808	1,27243455	0,06403745	-2,33229887	4,36005429	1,53465419	-1,53913763	-14	-14	-14	-14	-1,57170347	-14	-14	-14	-14	-14	2,57346616	-0,61281757	-3,65793	-3,62915047	-14	-2,63747599	0,02012045	-14	-3,29755187	-2,52970616	-14	-4,78686197	-1,24014506	-0,88376938	-2,17259074	-5,67367886	-4,00939371	-3,43799895	-2,52390517	0,36513002	-6,30878811	-2,87898247	3,54334497
HFB10_048	-3,377355123	-14	3,342012578	0,486956228	-0,358458343	-1,244228123	-1,109588423	1,387858598	-2,648068043	-2,358201153	3,938211428	0,729872538	-0,114261213	-14	-14	-2,103838643	-14	-1,656196393	-14	-3,393530163	-14	-14	-4,870315203	1,775622968	-0,949293153	-2,178044803	-7,435573013	0,642224308	-14	-0,845564822	-14	-2,015346813	-2,804552773	-5,881507343	-4,744590263	-0,531668302	-0,434480092	-4,129107823	-2,984663073	-4,357551393	-3,850822253	-1,748701283	0,739819538	-14	-14	2,808285248
HFB10_049	-14	-14	-14	-5,266510873	0,287100328	-14	-14	-1,738784333	-1,256998913	-3,703631513	-14	1,372291808	-2,776062163	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-0,292496832	-5,649627313	-1,617889263	-14	-14	-14	-1,460111013	-4,550643543	-1,957717863	-14	-14	-5,414821073	-14	-0,272963333	-14	-14	-14	-14	-5,196510123	-14	-6,334058663	-3,960593173	1,943580868
HFB10_050	-14	-0,596106705	-14	-4,575774195	1,022702965	-14	-14	-0,619505585	-14	-14	-14	-1,489879195	1,926843705	-14	-14	-14	-14	-14	-14	-3,438062455	-14	-14	-14	-14	-4,165886705	-3,737393445	-14	-14	-14	-6,337909895	-14	-2,982284505	-3,972982825	-14	-14	-14	-1,250868145	-14	-3,009298555	-14	-14	-14	-14	-14	-4,117220035	3,210449685
HFB10_052	-14	-4,096334578	0,025038202	-1,693671308	0,108576073	-4,505514008	-2,292939508	-0,559547398	-1,368897748	-3,338775918	0,508529593	1,109131373	-1,478506978	-14	-14	-14	-14	-1,753581948	-14	-14	-14	-14	-14	2,198555773	-2,680474928	-0,161102548	-4,011608258	-14	-5,041849278	-2,209442108	-14	-0,685670358	-3,470599838	-14	-6,663210398	-14	-0,437538607	-14	-14	-14	-2,816285958	-2,555436278	0,881454693	-7,471838148	-4,445905198	1,014632893
HFB10_053	-14	-14	-14	-3,93951385	-0,25296915	-14	-2,63425293	-1,33301957	1,38853465	-1,85791668	-1,04694621	0,81290561	1,4931346	-14	-14	-14	-14	-2,34648642	-14	-14	-14	-4,18234971	-14	2,0101163	-1,03525497	-0,10694542	-14	-14	-3,94246493	-2,26318618	-14	-1,12148872	-14	-14	-5,77344273	-14	-0,89379576	-14	-14	-3,94550166	-2,73071467	-4,90374154	0,88085035	-4,90558839	-3,35863306	2,26825363
HFB10_054	-3,913603803	-14	2,052953118	-0,351619953	-0,035067963	-14	-2,400076493	0,441170687	-4,136242443	-4,520148933	2,633840558	0,595478777	-0,718016623	-4,815241773	-14	-5,208515193	-14	-3,315990803	-14	-3,425431883	-14	-2,392441343	-2,807280583	0,253075177	-1,649870803	-2,462276923	-14	0,350769867	-14	-1,040001313	-14	-1,644723813	-3,407196743	-6,100154883	-6,632883623	-1,753334793	-0,897762183	-14	0,091444187	-6,330620073	-14	-2,518294283	-0,037259623	-5,952561163	-14	2,577553958
HFB10_055	-2,621308185	-14	3,870238725	0,663199435	0,138599385	-2,583551605	-1,998510365	1,401592145	-4,720315355	-1,866123605	2,546702775	-0,277196065	-0,007609305	-14	-5,236649315	-4,543336955	-4,580455655	-2,113123705	-14	-14	-14	-14	-2,700603805	0,835624095	-1,144272345	-1,442581745	-14	-0,776953015	-2,335547385	-1,523598895	-14	-1,392957635	-0,775122905	-5,735734315	-4,881170115	-0,784620555	-1,098769535	-1,623695695	-0,060597145	-1,741512095	-14	-1,981154025	-1,244476115	-6,210062945	-14	2,353127785
HFB10_056	-2,117207263	-14	3,148939888	-1,194377823	0,347370478	-2,566640553	-2,299820193	1,775753668	-4,260855443	-3,050378803	2,494635758	0,310863978	-0,560981033	-5,334354743	-3,847474463	-2,388631713	-4,397416163	-1,952717453	-14	-2,656761033	-14	-4,867066513	-4,027818923	0,644038567	-1,447601333	-1,522569293	-5,401173123	0,396575208	-4,866703773	-0,971588593	-14	-1,811280593	-1,985273783	-4,353526803	-5,842040503	-0,168796143	-0,953868133	-1,746344573	0,340452407	-2,275722843	-5,281002203	-2,829328453	0,012653807	-8,206874013	-5,467813663	2,417778248
HFB10_057	-1,864951285	-14	4,301749655	0,565035105	-0,306690675	-0,446584715	-1,198246055	2,257988875	0,544356015	-0,578260085	1,889454835	-0,886188655	-0,690436525	-14	-14	-5,296631535	0,626772585	-1,778388395	-14	-14	-14	-2,860778305	-0,113361705	0,866724025	-1,170780325	-1,227498195	-14	-0,132320735	-14	-0,608188285	-14	-2,191170495	-0,736219825	-7,463776585	-7,788399125	-0,004240775	-0,973807515	-14	1,272624025	-1,107042135	-14	-14	-1,010914365	-14	-14	3,471668685
HFB10_058	-14	-14	-2,085055918	-2,431758408	0,111096133	-3,081783038	-2,328428858	0,690874563	-3,916287288	-3,517131058	1,991055983	0,636648143	-0,031628407	-14	-4,337826078	-1,257553648	-1,879435968	-1,719053288	-14	-14	-14	-3,662637898	-14	-0,092370378	-5,529801448	-1,883512078	-14	0,081369383	-14	-2,559701558	-14	-1,549096168	-4,218577698	-5,901942538	-7,300397708	-3,234973098	-0,697860437	-14	-0,709351377	-14	-14	-2,462582908	-0,700290558	-5,370813178	-14	2,135860473
HFB10_060	-3,298716288	-14	2,643664613	-0,026700897	0,033660883	-4,064164008	-1,164895828	1,171663383	-2,172625438	-1,960099548	2,294413733	-0,494461488	-0,759273548	-14	-3,658581438	-3,506195428	-4,020813358	-0,371380408	-14	-1,860282818	-14	-3,325221268	-14	0,979752213	-1,426872928	-2,587465278	-5,556174518	-1,486502718	-4,130752538	-2,786271888	-14	-1,396179778	-1,692411088	-14	-5,701360488	-1,175404678	-0,544703357	-14	0,907730723	-14	-14	-2,576460538	-0,524997497	-7,117250378	-14	1,907222253
HFB10_061	-2,274843333	-14	4,728409778	0,581541638	0,605096178	-2,221217913	-1,417589923	1,558336868	-2,856731213	-2,718279933	3,729886998	0,324676458	-1,052899513	-14	-4,340571653	-14	-2,315284473	-2,121700583	-14	-3,465525173	-14	-3,796976583	-1,561788483	1,134448168	-0,034924982	-1,643565033	-14	0,117519068	-4,504927723	-0,985341282	-14	-2,465616913	-14	-5,076362503	-4,019292273	0,330641418	-0,811264372	-1,469012233	-0,969575723	-2,272395473	-1,172240883	-1,985405303	0,242021257	-14	-14	2,671785108
HFB10_062	-5,609819588	-14	1,333340693	-1,214403148	0,271003352	-14	-3,193064788	0,943968603	-0,375130438	-1,758132538	3,529063673	0,829780453	-0,457591738	-14	-14	-14	-14	-0,882752278	-14	-14	-14	-14	-4,375023398	2,406984203	-1,346754768	-2,478337398	-3,488963458	-1,014394558	-5,423104308	-3,907082878	-14	-1,965055378	-14	-14	-4,544635688	-0,354205328	-1,566379098	-2,692204438	-4,832682948	-5,451827998	-3,652980908	-1,155260318	-0,789232627	-4,515666058	-14	3,260431123
HFB10_064	-2,394520595	-14	1,847456665	0,336623495	-0,503300455	-3,487122245	-1,428581795	1,930504275	-2,121266785	-1,750352835	4,079148175	0,266939965	-2,675569065	-14	-14	-2,585093565	-14	-1,606355285	-14	-6,583687015	-14	-4,249576235	-3,435193445	1,201143025	-0,958952705	-0,358971225	-6,052171495	-1,292824065	-14	-1,625746265	-14	-1,099340195	-5,509939395	-14	-5,538923185	-2,455946655	-0,716704625	-14	-2,869472575	-14	-3,545405675	-1,157683635	-0,086907115	-5,523840835	-6,081531505	2,319345275
HFB10_065	-2,499962225	-14	1,874023425	-0,499607445	-0,129329585	-14	-3,056593835	1,548431995	1,357255285	-2,453210655	3,047450075	0,171784025	-4,880945885	-14	-14	-14	-4,027693155	0,745436035	-14	-2,611903795	-14	-14	-4,318238305	2,289978905	0,127514005	-1,290065815	-14	-0,837059495	-14	-14	-14	-1,738096525	-14	-14	-5,468391135	-1,121487885	-0,433287155	-2,704373065	-14	-14	-14	-0,902689885	1,551165435	-6,355144165	-2,387520145	2,300713265
HFB10_066	-5,617389398	-14	-1,090674898	-2,496114818	-0,131445088	-5,238646428	-14	-1,377218458	0,247591343	-1,927827678	-0,043317498	1,254583733	-1,696394378	-14	-14	-14	-14	-3,550673068	-14	-14	-14	-14	-14	1,878435173	-14	-1,254227628	-14	-14	-5,634648358	-1,250616778	-14	-1,925119088	-14	-14	-6,654064058	-5,194345098	-0,598842688	-4,733694578	-14	-5,433686528	-3,026685428	-5,987562478	1,321584803	-7,977133508	-4,973526498	2,655406863
HFB10_067	-3,410381118	-14	2,533233493	-1,283730108	0,332031032	-3,775707648	-2,170313078	0,396736783	-2,103096138	-2,210681218	1,998948133	-0,569213968	0,336746752	-2,769394688	-5,755704878	-0,516330448	-14	-2,722992838	-14	-3,084198918	-14	-1,585232718	-1,765290348	0,212267532	-0,978861848	-2,918431858	-3,843256578	-0,524518498	-4,764286758	-2,038516388	-14	-1,197079358	-1,226231928	-14	-5,841719808	-1,049772348	-1,207306338	-3,806901758	0,456454442	-3,002593278	-14	-2,158225158	0,275942682	-7,605831598	-5,172837258	2,072354663
HFB10_069	-14	0,293582242	-14	-14	-0,045311598	-14	-14	0,850187812	-14	-14	-14	-14	1,591759253	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-14	-4,898296968	-14	-1,171532318	-3,219911108	-14	-14	-14	-1,973452938	-14	-1,768538728	-14	-14	-4,620020438	-14	-14	-3,522628398	3,190296853
HFB10_070	-2,685425725	-14	-0,051430655	-3,035136665	-0,075807755	-5,240439455	-1,847554335	0,306004115	-5,250913595	-2,886857075	1,479492725	0,124075925	1,058179195	-2,315949465	-14	-1,567121045	-0,628774705	-14	-14	-5,180397545	-14	-1,868982355	-14	0,537124305	-2,710254505	-0,807988475	-14	0,339488685	-14	-14	-14	-1,387338945	-1,812978115	-2,391324535	-14	-1,343099575	-0,458446885	-2,916184435	1,093914375	-2,342785415	-14	-4,064529655	1,515279445	-7,311649575	-14	1,921593585
