Cell	Cbfa2t3h	Cdh1	Cdh5	Egfl7	Eif2b1	Erg	Ets1	Ets2	Etv2	Etv6	Fli1	FoxH1	FoxO4	Gata1	Gfi1	Gfi1b	HbbbH1	Hhex	HoxB2	HoxB4	HoxD8	Ikaros	Itga2b	Kdr	Kit	Ldb1	Lmo2	Lyl1	Mecom	Meis1	Mitf	Mrpl19	Myb	Nfe2	Notch1	Pecam1	Polr2a	Procr	Runx1	Sfpi1	Sox17	Sox7	Tal1	Tbx20	Tbx3	Ubc
HFA4_105	-4,540237383	-14	1,278135468	-3,594402743	0,342674128	-14	-5,068736143	0,186157398	-14	-3,763658133	0,151014328	0,205628768	-1,883782543	-3,940420903	-14	-1,075831733	1,621758308	-4,308748983	-14	-14	-14	-1,273974413	-2,466705883	-2,212678683	-2,265998563	-2,060986483	-4,904789573	-2,159506403	-14	-14	-6,920679983	-1,856523003	-0,403220643	-3,657887153	-8,618416833	-2,508448933	-0,110285443	-14	1,018904838	-1,729379923	-14	-4,841913353	-0,421843132	-14	-5,033271353	1,624134318
HFA4_106	-4,354498565	-14	-0,153309935	-2,314545175	0,269442745	-3,584873925	-5,392271555	0,320392515	-3,524107115	-2,205106265	1,752474905	-0,035189955	-2,533039305	-14	-14	-14	-2,945645225	-0,905562035	-14	-14	-14	-14	-4,459875555	2,079337195	-5,152015035	-0,829570425	-14	-2,718710185	-14	-14	-14	-1,786294915	-3,495619455	-14	-4,084449075	-14	-0,210757305	-3,577028895	-4,234244005	-3,862702615	-14	-3,905379075	-0,325524615	-14	-14	1,727609475
HFA4_107	-2,27561246	-14	0,05837132	0,03018974	0,47559468	-14	-1,88669697	2,27793176	-4,02268597	-2,61652599	2,83176173	-0,287385	-2,0360068	-14	-14	-14	-14	-2,02967883	-14	-14	-14	-5,05688146	-14	1,75745549	-2,53585447	-1,37257067	-2,6778971	-2,23008891	-3,87382865	-0,39032958	-14	-1,36189863	-14	-14	-3,79866997	-1,56456135	-1,33235899	-14	-1,31654902	-2,2523174	-3,00287677	-1,07458651	-2,18239354	-8,28644062	-4,39656404	2,21866294
HFA4_108	-3,52789145	-14	0,90833329	-0,4963524	0,1325297	-2,48127069	-1,61942693	1,77604361	-2,06273266	-2,27700224	2,6717489	0,42948129	-2,31101908	-14	-14	-14	-14	-1,01332324	-14	-3,93005033	-14	-4,91958752	-14	1,82244295	-2,54175578	-1,98681796	-3,41790394	-1,33601241	-4,29179492	-0,33345615	-8,03599074	-2,59274077	-3,71790356	-7,05886507	-6,26584669	0,26089115	0,22678093	-2,01924924	-6,32375161	-4,88952109	-3,09239844	-1,43810268	0,51258261	-7,43851039	-3,46039505	2,23343014
HFA4_110	-4,05765451	-14	-5,81686417	-1,32423536	0,36185895	-14	-3,11095957	1,49461748	-0,38976599	-2,03014071	3,53910497	-0,14582063	-2,32564855	-14	-14	-14	-14	-2,08774169	-14	-14	-14	-14	-14	1,66805196	-2,21016581	-0,15244846	-14	-2,4847587	-14	-14	-14	-2,31681918	-14	-14	-5,24098671	-1,27953887	-0,55990255	-3,68051226	-14	-3,43033164	-14	-3,24221094	0,50917169	-7,84715456	-4,06628326	2,51486278
HFA4_111	-14	-14	-14	-4,097306818	-0,178458098	-14	-3,919239288	-1,001900348	1,620715123	-3,890606538	-2,600426228	1,780699763	-1,310054598	-14	-14	-14	-14	-14	-14	-3,369340538	-14	-14	-14	1,975754113	-2,546201858	-2,690774808	-14	-14	-14	-1,035137918	-14	-0,885271288	-14	-14	-6,508615948	-4,690535578	-0,472157438	-3,254922348	-14	-14	-14	-2,870053998	1,612234313	-14	-4,037770888	1,535886823
HFA4_113	-14	-14	-14	-3,778037978	1,252007293	-3,771874748	-3,502216208	0,662219473	-0,816249678	-4,025221608	1,343030423	0,859660633	-0,568679017	-14	-14	-14	-14	-3,365411878	-14	-14	-14	-14	-14	1,188641233	-1,697332488	-0,645936707	-14	-14	-14	-14	-14	-2,283129208	-14	-14	-5,108100528	-2,305471798	-0,715847358	-14	-14	-4,094476198	-14	-1,243882888	-0,610513237	-7,475870778	-3,033392518	1,746969273
HFA4_115	-2,765502238	-14	-1,684166658	-0,318752697	-0,072816827	-3,456784968	-2,044476018	2,546963693	-1,046353698	-2,422200158	2,593383233	0,803263483	-1,037783178	-14	-14	-14	-2,462474408	-0,897801027	-14	-1,155925838	-14	-14	-14	1,895023953	-2,808901858	-1,818166678	-14	-2,623477218	-14	-0,907977277	-14	-1,281099748	-14	-14	-6,221276438	-4,387802558	-0,177160628	-2,912850628	-4,104231048	-14	-3,020045868	-0,721394888	1,041841033	-14	-14	1,531077203
HFA4_116	-2,73987222	-14	3,41653175	0,10862303	0,4047002	-1,45257619	-1,06349017	1,58330585	-1,32427154	-2,38534978	3,15347094	0,92760924	-0,87588803	-14	-14	-14	-14	-0,62774699	-14	-14	-14	-14	-4,64963994	1,76636266	-2,973419	-0,1855069	-4,55931563	0,13771404	-14	-1,11067932	-14	-1,48844356	-14	-14	-4,24786148	0,38948819	-0,64465679	-2,72650084	-2,09003261	-4,25723105	-2,06680664	-1,21306034	-1,521739	-6,6025041	-2,74956871	1,72840015
HFA4_117	-3,938531615	-14	2,156406635	0,111635505	0,670031745	-3,450013685	-1,249692895	1,360072195	-2,571699235	-4,799310415	2,511926775	1,908167255	-0,884760525	-14	-14	-14	-14	-1,031478515	-14	-2,840332345	-14	-14	-14	2,686980125	-1,961669045	-0,243666105	-3,491520105	-2,156942525	-2,344881045	-0,686185585	-14	-2,153356065	-1,135295545	-14	-5,710099925	-1,861787695	-0,647339595	-14	-14	-14	-14	-1,472358615	-1,035969025	-6,307994275	-3,393822715	2,130663915
